customer_id,first_name,last_name,date_of_birth,phone,email
82,Timothy,Mulqueen,1979-02-27,718-332-6527,timothy_mulqueen@mulqueen.org
83,Arlette,Honeywell,1979-02-28,904-775-4480,ahoneywell@honeywell.com
84,Dominque,Dickerson,1979-03-01,510-993-3758,dominque.dickerson@dickerson.org
85,Lettie,Isenhower,1979-03-02,216-657-7668,lettie_isenhower@yahoo.com
86,Myra,Munns,1979-03-03,817-914-7518,mmunns@cox.net
87,Stephaine,Barfield,1979-03-04,310-774-7643,stephaine@barfield.com
88,Lai,Gato,1979-03-05,847-728-7286,lai.gato@gato.org
89,Stephen,Emigh,1979-03-06,330-537-5358,stephen_emigh@hotmail.com
90,Tyra,Shields,1979-03-07,215-255-1641,tshields@gmail.com
91,Tammara,Wardrip,1979-03-08,650-803-1936,twardrip@cox.net
92,Cory,Gibes,1979-03-09,626-572-1096,cory.gibes@gmail.com
93,Danica,Bruschke,1979-03-10,254-782-8569,danica_bruschke@gmail.com
94,Wilda,Giguere,1979-03-11,907-870-5536,wilda@cox.net
95,Elvera,Benimadho,1979-03-12,408-703-8505,elvera.benimadho@cox.net
96,Carma,Vanheusen,1979-03-13,510-503-7169,carma@cox.net
97,Malinda,Hochard,1979-03-14,317-722-5066,malinda.hochard@yahoo.com
98,Natalie,Fern,1979-03-15,307-704-8713,natalie.fern@hotmail.com
99,Lisha,Centini,1979-03-16,703-235-3937,lisha@centini.org
